{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156645', 'lng': '+77.3745896', 'time': '2024/10/08 11:23:57'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156627', 'lng': '+77.3745842', 'time': '2024/10/08 11:36:07'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': 28.614645, 'lng': 77.37314333333333, 'time': '2024/10/08 11:48:21'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156676', 'lng': '+77.3745085', 'time': '2024/10/08 12:02:12'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156399', 'lng': '+77.374637', 'time': '2024/10/08 12:09:12'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156521', 'lng': '+77.3746354', 'time': '2024/10/08 12:14:20'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156736', 'lng': '+77.3745465', 'time': '2024/10/08 12:31:48'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156506', 'lng': '+77.3746473', 'time': '2024/10/08 12:38:48'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156521', 'lng': '+77.3746254', 'time': '2024/10/08 12:43:05'}
{'speed': 0, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': '+28.6156659', 'lng': '+77.3744215', 'time': '2024/10/08 13:18:43'}
{'speed': 0, 'battery': 0, 'signal': 0, 'imei': '861261027105903', 'lat': '+28.6156648', 'lng': '+77.3744332', 'time': '2024/10/08 13:18:44'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6156991', 'lng': '+77.374741', 'time': '2024/10/08 13:19:43'}
{'speed': 0, 'battery': 82, 'signal': 25, 'imei': '861261027105903', 'lat': '+28.6156904', 'lng': '+77.3746899', 'time': '2024/10/08 13:19:52'}
{'speed': 0, 'battery': 82, 'signal': 25, 'imei': '861261027105903', 'lat': '+28.6157171', 'lng': '+77.3747082', 'time': '2024/10/08 13:20:02'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6157108', 'lng': '+77.37474', 'time': '2024/10/08 13:20:03'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6157197', 'lng': '+77.3747268', 'time': '2024/10/08 13:20:03'}
{'speed': 0, 'battery': 82, 'signal': 25, 'imei': '861261027105903', 'lat': '+28.6157079', 'lng': '+77.374721', 'time': '2024/10/08 13:20:22'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6157203', 'lng': '+77.3747199', 'time': '2024/10/08 13:20:37'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6157203', 'lng': '+77.3747199', 'time': '2024/10/08 13:20:37'}
{'speed': 0, 'battery': 82, 'signal': 25, 'imei': '861261027105903', 'lat': '+28.6156544', 'lng': '+77.3746443', 'time': '2024/10/08 13:20:39'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6157203', 'lng': '+77.3747199', 'time': '2024/10/08 13:20:39'}
{'speed': 0, 'battery': 83, 'signal': 25, 'imei': '861261027105861', 'lat': '+28.6157143', 'lng': '+77.3747123', 'time': '2024/10/08 13:20:45'}
{'speed': 1, 'battery': 98, 'signal': 25, 'imei': '861261027105895', 'lat': 28.615755, 'lng': 77.37518333333334, 'time': '2024/10/08 13:23:11'}
{'speed': 0, 'battery': 0, 'signal': 0, 'imei': '861261027105903', 'lat': '+28.6156582', 'lng': '+77.374467', 'time': '2024/10/08 13:49:28'}
